"10","任務搜尋器","<hex:024804F201FA03><hex:024904F201FB03>任務搜尋器<hex:0249020103><hex:0248020103>是供<hex:024804F201FA03><hex:024904F201FB03>不同玩家<hex:0249020103><hex:0248020103>組成小隊<hex:02100103>一起挑戰迷宮等任務的<hex:024804F201FA03><hex:024904F201FB03>便利功能<hex:0249020103><hex:0248020103>。<hex:02100103>訪問進入點，選擇<hex:024804F201FA03><hex:024904F201FB03>和其他的玩家進入<hex:0249020103><hex:0248020103>後，<hex:02100103>將會開啟<hex:024804F201FA03><hex:024904F201FB03>任務搜尋器視窗<hex:0249020103><hex:0248020103>。"
"11","申請參加任務","<hex:024804F201FA03><hex:024904F201FB03>勾選想要挑戰的迷宮名稱<hex:0249020103><hex:0248020103>，然後<hex:024804F201FA03><hex:024904F201FB03>按下參加按鈕<hex:0249020103><hex:0248020103>，<hex:02100103>系統就會自動地將參加相同任務的玩家組成小隊。<hex:02100103>這個過程被稱為<hex:024804F201FA03><hex:024904F201FB03>配對<hex:0249020103><hex:0248020103>。<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>※最多只能同時申請參加5個任務。<hex:02100103><hex:02100103>※帶有鎖頭圖案的任務表示當前狀態沒有完全符合參加條件，無法申請參加。<hex:0249020103><hex:0248020103>"
"12","申請的預約狀況","開始申請之後，目的列表中會出現搜尋器的圖示，可以隨時查看<hex:024804F201FA03><hex:024904F201FB03>預約狀況<hex:0249020103><hex:0248020103>。<hex:02100103><hex:02100103>預約狀況視窗中會顯示當前的隊伍情況和伺服器預約情況。"
"13","出發確認窗口","<hex:024804F201FA03><hex:024904F201FB03>配對完成<hex:0249020103><hex:0248020103>時會有<hex:024804F201FA03><hex:024904F201FB03>聲音提示，並彈出視窗<hex:0249020103><hex:0248020103>。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>按下出發按鈕<hex:0249020103><hex:0248020103>就可以進行挑戰了！<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>若沒有在限制時間內出發，將會取消參加，需要重新進行選擇。<hex:0249020103><hex:0248020103>"
"14","可以挑戰的迷宮","隨著你的冒險不斷推進，可以挑戰的迷宮數量也會不斷增加。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>當前不可使用任務支援者的迷宮及任務<hex:0249020103><hex:0248020103>請多<hex:024804F201FA03><hex:024904F201FB03>利用任務搜尋器<hex:0249020103><hex:0248020103>參與挑戰！<hex:02100103><hex:02100103>此外成功挑戰過的迷宮也可以重複進行挑戰。<hex:02100103>可以從<hex:024804F201FA03><hex:024904F201FB03>快捷指令<hex:0249020103><hex:0248020103>的<hex:024804F201FA03><hex:024904F201FB03>任務情報<hex:0249020103><hex:0248020103>選單選擇<hex:024804F201FA03><hex:024904F201FB03>任務搜尋器<hex:0249020103><hex:0248020103><hex:02100103>或<hex:024804F201FA03><hex:024904F201FB03>任務支援者<hex:0249020103><hex:0248020103>再次進行挑戰。"
"15","特殊ダンジョン探索の方法","専用NPCとの会話、またはメインコマンド「コンテンツ情報」内にある<hex:02100103>「<hex:024804F201FA03><hex:024904F201FB03>特殊ダンジョン探索<hex:0249020103><hex:0248020103>」を選択して開かれる専用ウィンドウから、<hex:02100103>特殊ダンジョン探索コンテンツへの突入を行います。<hex:02100103><hex:02100103>突入の際に必要となる情報はウィンドウ内に表示されており、<hex:02100103>各種設定などもここから行います。"
"16","ヴァリアントダンジョンの攻略","特殊ダンジョン探索のひとつである<hex:024804F201FA03><hex:024904F201FB03>ヴァリアントダンジョン<hex:0249020103><hex:0248020103>は<hex:02100103>1～4人いずれの人数でも遊べる様に難易度が<hex:024804F201FA03><hex:024904F201FB03>自動調整<hex:0249020103><hex:0248020103>される<hex:02100103>仕組みが入っています。<hex:02100103>ひとりでの攻略も可能ですが、歯ごたえのある難易度となります。<hex:02100103><hex:02100103>自分ひとりで、また仲間とのパーティメンバーのみで攻略する場合は<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>パーティが4人に満たない場合マッチングを利用する<hex:0249020103><hex:0248020103>の<hex:02100103>チェックボタンをオフにして突入します。（初期状態）<hex:02100103><hex:02100103>4人パーティとなるようにマッチングを利用する場合は<hex:02100103>このチェックボタンをオンにして突入します。"
"17","ヴァリアントアクション","自由なロール構成で攻略が楽しめるように、ヴァリアントダンジョン内で<hex:02100103>使える特殊なアクション「<hex:024804F201FA03><hex:024904F201FB03>ヴァリアントアクション<hex:0249020103><hex:0248020103>」が用意されています。<hex:02100103><hex:02100103>タンクやDPSロールでもヒーラーの役目ができるよう<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>特別なケアルやレイズ<hex:0249020103><hex:0248020103>などがあり、その他のロールについても同様の<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>特別なアクション<hex:0249020103><hex:0248020103>が用意されています。<hex:02100103><hex:02100103>攻略中に使える2つのヴァリアントアクションは、いつでも<hex:02100103>ウィンドウ内にある<hex:024804F201FA03><hex:024904F201FB03>ヴァリアントアクションを設定<hex:0249020103><hex:0248020103>ボタンにより<hex:02100103>表示されるヴァリアントアクション一覧から選択・設定できます。"
"18","物語を発見する探検","ヴァリアントダンジョンは、その場所にまつわる人物とともに<hex:02100103>ダンジョン内の<hex:024804F201FA03><hex:024904F201FB03>分岐したルート<hex:0249020103><hex:0248020103>を探検し、新たな<hex:024804F201FA03><hex:024904F201FB03>物語を発見<hex:0249020103><hex:0248020103><hex:02100103>していくという要素を持ったコンテンツです。<hex:02100103><hex:02100103>発見した物語は、ヴァリアントダンジョン専用の手記や記録と<hex:02100103>いった形でひとつずつ綴られていきます。<hex:02100103><hex:02100103>ウィンドウ内にある人物のボタンをクリックまたは決定ボタンにて<hex:02100103>専用のサブウィンドウを呼び出し、発見した物語を読むことができます。"
"19","アナザーダンジョンへの挑戦","特殊ダンジョン探索の高難易度コンテンツ<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>アナザーダンジョン<hex:0249020103><hex:0248020103>が開放されました。<hex:02100103><hex:02100103>ウィンドウ上部の<hex:024804F201FA03><hex:024904F201FB03>表示切替ボタン<hex:0249020103><hex:0248020103>を押すことで、<hex:02100103>ウィンドウ内の表示がアナザーダンジョン用に切り替わります。<hex:02100103><hex:02100103>アナザーダンジョンでは、同行するNPCやルート分岐などはなく<hex:02100103>物語を発見する要素もないため、切り替えたウィンドウ内には<hex:02100103>それらの代わりに、<hex:024804F201FA03><hex:024904F201FB03>アナザーダンジョンリスト<hex:0249020103><hex:0248020103>や<hex:02100103>攻略により得られる<hex:024804F201FA03><hex:024904F201FB03>専用通貨<hex:0249020103><hex:0248020103>などの表示が追加されます。"
"20","アナザーダンジョンでの制限","アナザーダンジョン攻略の際は、ヴァリアントダンジョンと異なり<hex:02100103>コンテンツ内での<hex:024804F201FA03><hex:024904F201FB03>ジョブチェンジが制限<hex:0249020103><hex:0248020103>されます。<hex:02100103>レイズ等の通常アクションによる蘇生行動も制限され、<hex:02100103>専用の蘇生用ヴァリアントアクションでのみ蘇生が可能となります。<hex:02100103><hex:02100103>さらに<hex:024804F201FA03><hex:024904F201FB03>零式<hex:0249020103><hex:0248020103>のアナザーダンジョンでは、<hex:02100103>ヴァリアントアクション自体が<hex:024804F201FA03><hex:024904F201FB03>使用不可<hex:0249020103><hex:0248020103>となります。<hex:02100103><hex:02100103>この零式のアナザーダンジョンへ突入するには、<hex:02100103>条件を満たしたメンバー4人でパーティを編成する必要があります。"
"21","パーティメンバー紹介について","パーティメンバーそれぞれのポートレートを表示して紹介するウィンドウです。ダンジョンや討伐・討滅戦などのコンテンツ開始時には、自動で表示されます。コンテンツ開始時の表示では、ウィンドウのサイズ変更や移動は行えません。<hex:02100103><hex:02100103>コンテンツ開始時の表示は、キャラクターコンフィグまたは詳細設定から<hex:02100103>表示しないように設定を変更することができます。"
"22","パーティメンバー紹介を開く方法","コンテンツ参加中に、メインコマンド＞コンテンツ情報＞コンテンツファインダーを選択して表示されるコンテンツメニューの「コンテンツ内機能」タブにある「パーティメンバー紹介表示」ボタンから行えます。<hex:02100103><hex:02100103>また、パーティメンバー紹介がコンテンツ開始時に表示されたあとで、<hex:02100103>通知にも表示されますので、そこからでも開くことが可能です。"
"23","詳細設定について","コンテンツメニューから開いた「パーティメンバー紹介表示」にある設定ボタンから、以下の項目についての設定を行えるようになっています。<hex:02100103><hex:02100103>　・コンテンツ開始時にパーティメンバー紹介を表示する<hex:02100103>　・パーティメンバー紹介の通知を表示する<hex:02100103>　・ポートレートの表示を下詰めにする"
"24","",""
"25","特殊ダンジョン探索のアイテムレベル","特殊ダンジョン探索で<hex:024804F201FA03><hex:024904F201FB03>マッチング<hex:0249020103><hex:0248020103>を利用して4人パーティを<hex:02100103>編成する場合、申請する全員がダンジョンに設定された<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>平均アイテムレベル<hex:0249020103><hex:0248020103>を満たす必要があります。<hex:02100103><hex:02100103>ひとりまたはパーティメンバーのみで攻略する場合は<hex:02100103>平均アイテムレベルを満たさずとも突入が可能です。"
"26","アナザーダンジョンのマッチング条件","アナザーダンジョンに突入する際の<hex:024804F201FA03><hex:024904F201FB03>マッチング条件<hex:0249020103><hex:0248020103>の指定で<hex:02100103>「<hex:024804F201FA03><hex:024904F201FB03>コンプリート済み<hex:0249020103><hex:0248020103>」は該当コンテンツを過去に一度でも<hex:02100103>コンプリートしたことがある場合のみ選択可能になります。"
