"262173","","0","","0","0","1","0","0","0","0","0","0","0","0","6456","6459","6464","0","0","0","0","0","0","0"
"262174","","0","","0","0","1","0","0","0","0","0","0","0","0","6457","6460","6467","0","0","0","0","0","0","0"
"262175","木製東洋小屋","0","","0","0","1","0","0","2402","0","20680","20689","20698","20701","20716","20718","20720","0","0","0","20716","20718","20720","0"
"262176","混合制東洋小屋","0","","0","0","1","0","0","2402","0","20681","20690","20699","20702","20716","20718","20720","0","0","0","20716","20718","20720","0"
"262177","石製東洋小屋","0","","0","0","1","0","0","2402","0","20682","20691","20700","20703","20716","20718","20720","0","0","0","20716","20718","20720","0"
"262178","木製東洋公館","0","","0","0","1","0","0","2402","1","20683","20692","20698","20701","20716","20718","20721","20716","20718","20721","20716","20718","20721","0"
"262179","混合制東洋公館","0","","0","0","1","0","0","2402","1","20684","20693","20699","20702","20716","20718","20721","20716","20718","20721","20716","20718","20721","0"
"262180","石製東洋公館","0","","0","0","1","0","0","2402","1","20685","20694","20700","20703","20716","20718","20721","20716","20718","20721","20716","20718","20721","0"
"262181","木製東洋別墅","0","","0","0","1","0","0","2402","2","20686","20695","20698","20701","20716","20718","20722","20716","20718","20722","20716","20718","20722","20722"
"262182","混合制東洋別墅","0","","0","0","1","0","0","2402","2","20687","20696","20699","20702","20716","20718","20722","20716","20718","20722","20716","20718","20722","20722"
"262183","石製東洋別墅","0","","0","0","1","0","0","2402","2","20688","20697","20700","20703","20716","20718","20722","20716","20718","20722","20716","20718","20722","20722"
"262184","","0","","0","0","1","0","0","0","0","0","0","0","0","20716","20718","20720","0","0","0","0","0","0","0"
"262185","木製雪峰小屋","0","","0","0","1","0","0","25","0","36863","36872","36881","36884","36887","36888","36889","0","0","0","36887","36888","36889","0"
"262186","石製雪峰小屋","0","","0","0","1","0","0","25","0","36864","36873","36882","36885","36887","36888","36889","0","0","0","36887","36888","36889","0"
"262187","混合制雪峰小屋","0","","0","0","1","0","0","25","0","36865","36874","36883","36886","36887","36888","36889","0","0","0","36887","36888","36889","0"
"262188","木製雪峰公館","0","","0","0","1","0","0","25","1","36866","36875","36881","36884","36887","36888","36890","36887","36888","36890","36887","36888","36890","0"
"262189","石製雪峰公館","0","","0","0","1","0","0","25","1","36867","36876","36882","36885","36887","36888","36890","36887","36888","36890","36887","36888","36890","0"
"262190","混合制雪峰公館","0","","0","0","1","0","0","25","1","36868","36877","36883","36886","36887","36888","36890","36887","36888","36890","36887","36888","36890","0"
"262191","木製雪峰別墅","0","","0","0","1","0","0","25","2","36869","36878","36881","36884","36887","36888","36891","36887","36888","36891","36887","36888","36891","36891"
"262192","石製雪峰別墅","0","","0","0","1","0","0","25","2","36870","36879","36882","36885","36887","36888","36891","36887","36888","36891","36887","36888","36891","36891"
"262193","混合制雪峰別墅","0","","0","0","1","0","0","25","2","36871","36880","36883","36886","36887","36888","36891","36887","36888","36891","36887","36888","36891","36891"
"262194","","0","","0","0","1","0","0","0","0","0","0","0","0","36887","36888","36891","0","0","0","0","0","0","0"
