"48","チョコドレイン","自分の周囲に、体力吸収フィールドを生成する。<hex:02100103>範囲内のチョコボから、体力を毎秒15吸収する。","70048","10","15"
"49","チョコドレインII","自分の周囲に、体力吸収フィールドを生成する。<hex:02100103>範囲内のチョコボから、体力を毎秒25吸収する。","70049","10","25"
"50","チョコドレインIII","自分の周囲に、体力吸収フィールドを生成する。<hex:02100103>範囲内のチョコボから、体力を毎秒35吸収する。","70050","10","35"
"51","アイテムシフト","所持しているアイテムを、別のアイテムに変える。","70051","11","0"
"52","ものまね","自分の前を走るチョコボがアイテムやアビリティを使用した場合、同じ効果を発動する。<hex:02100103>効果時間：7秒","70052","12","7"
"53","ものまねII","自分の前を走るチョコボがアイテムやアビリティを使用した場合、同じ効果を発動する。<hex:02100103>効果時間：11秒","70053","12","11"
"54","ものまねIII","自分の前を走るチョコボがアイテムやアビリティを使用した場合、同じ効果を発動する。<hex:02100103>効果時間：15秒","70054","12","15"
"55","フェザーフィールド","他のチョコボが生成したフィールドの効果を受けない。<hex:02100103>効果時間：10秒","70055","13","10"
"56","フェザーフィールドII","他のチョコボが生成したフィールドの効果を受けない。<hex:02100103>効果時間：20秒","70056","13","20"
"57","フェザーフィールドIII","他のチョコボが生成したフィールドの効果を受けない。<hex:02100103>効果時間：30秒","70057","13","30"
"58","スーパーダッシュ","天候や地形による効果を受けなくなり、体力が0になるまで、ダッシュを続ける。","70058","14","0"
"59","チョコリレイズ","体力が0になった際、一度だけ体力を60回復する。","70059","15","60"
"60","チョコリレイズII","体力が0になった際、一度だけ体力を130回復する。","70060","15","130"
"61","チョコリレイズIII","体力が0になった際、一度だけ体力を200回復する。","70061","15","200"
"62","デバフ耐性","自身が受ける弱体効果の効果時間を80％に減少させる。","70062","16","80"
"63","デバフ耐性II","自身が受ける弱体効果の効果時間を65％に減少させる。","70063","16","65"
"64","デバフ耐性III","自身が受ける弱体効果の効果時間を50％に減少させる。","70064","16","50"
"65","減速休憩","減速中に、体力が0.8％ずつ回復する。","70065","17","8"
"66","減速休憩II","減速中に、体力が1％ずつ回復する。","70066","17","10"
"67","減速休憩III","減速中に、体力が1.2％ずつ回復する。","70067","17","12"
"68","","","0","0","0"
"69","","","0","0","0"
"70","","","0","0","0"
