"10","コンテンツファインダー","<hex:024804F201FA03><hex:024904F201FB03>プレイヤー同士<hex:0249020103><hex:0248020103>でダンジョンなどへ突入するための<hex:024804F201FA03><hex:024904F201FB03>便利な機能<hex:0249020103><hex:0248020103>、<hex:02100103>それが<hex:024804F201FA03><hex:024904F201FB03>「コンテンツファインダー」<hex:0249020103><hex:0248020103>です。<hex:02100103><hex:02100103>進入地点にアクセスし、<hex:024804F201FA03><hex:024904F201FB03>「他のプレイヤーと突入」を選ぶ<hex:0249020103><hex:0248020103>ことで、<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>コンテンツファインダーウィンドウ<hex:0249020103><hex:0248020103>が開きます。"
"11","コンテンツの参加申請","<hex:024804F201FA03><hex:024904F201FB03>行きたいダンジョン名などを選択<hex:0249020103><hex:0248020103>し、<hex:024804F201FA03><hex:024904F201FB03>「参加申請」を押す<hex:0249020103><hex:0248020103>ことで、<hex:02100103>同じ目的を持った他のプレイヤーと、自動的にパーティを編成して<hex:02100103>くれます。これを<hex:024804F201FA03><hex:024904F201FB03>「マッチング」<hex:0249020103><hex:0248020103>と呼びます。<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>※参加申請を行うコンテンツは同時に5つまで指定可能です。<hex:02100103><hex:02100103>※鍵マークのついたコンテンツは、参加条件を満たしていないため、<hex:02100103>　参加申請を行うことはできません<hex:0249020103><hex:0248020103>"
"12","申請の予約状況","参加申請を行うと、目的リストに<hex:02100103>ファインダーアイコンが表示され、<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>予約状況<hex:0249020103><hex:0248020103>の確認が可能です。<hex:02100103><hex:02100103>予約状況では、現在のマッチング状態、<hex:02100103>サーバー予約状況などを確認できます。"
"13","突入確認ウィンドウ","<hex:024804F201FA03><hex:024904F201FB03>マッチングが完了<hex:0249020103><hex:0248020103>した際には、<hex:024804F201FA03><hex:024904F201FB03>アラームが鳴り<hex:0249020103><hex:0248020103>ます。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>「突入」を押して<hex:0249020103><hex:0248020103>コンテンツに挑戦！<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>制限時間内に突入操作を行わないと参加辞退になり<hex:02100103>もう一度突入先選択からのやり直しが必要となります。<hex:0249020103><hex:0248020103>"
"14","攻略可能なダンジョン","貴方の冒険が進めば、攻略可能なダンジョンはどんどん増えていきます。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>コンテンツサポーターに未対応のダンジョンやコンテンツ<hex:0249020103><hex:0248020103>には、<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>コンテンツファインダーを利用<hex:0249020103><hex:0248020103>して挑戦してみましょう！<hex:02100103><hex:02100103>また、攻略済みのダンジョンは、後から繰り返し再挑戦可能です。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>メインコマンド<hex:0249020103><hex:0248020103>の<hex:024804F201FA03><hex:024904F201FB03>「コンテンツ情報」<hex:0249020103><hex:0248020103>から<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>「コンテンツファインダー」<hex:0249020103><hex:0248020103>や、<hex:024804F201FA03><hex:024904F201FB03>「コンテンツサポーター」<hex:0249020103><hex:0248020103>を利用して<hex:02100103>再挑戦できます。"
"15","特殊ダンジョン探索の方法","専用NPCとの会話、またはメインコマンド「コンテンツ情報」内にある<hex:02100103>「<hex:024804F201FA03><hex:024904F201FB03>特殊ダンジョン探索<hex:0249020103><hex:0248020103>」を選択して開かれる専用ウィンドウから、<hex:02100103>特殊ダンジョン探索コンテンツへの突入を行います。<hex:02100103><hex:02100103>突入の際に必要となる情報はウィンドウ内に表示されており、<hex:02100103>各種設定などもここから行います。"
"16","ヴァリアントダンジョンの攻略","特殊ダンジョン探索のひとつである<hex:024804F201FA03><hex:024904F201FB03>ヴァリアントダンジョン<hex:0249020103><hex:0248020103>は<hex:02100103>1～4人いずれの人数でも遊べる様に難易度が<hex:024804F201FA03><hex:024904F201FB03>自動調整<hex:0249020103><hex:0248020103>される<hex:02100103>仕組みが入っています。<hex:02100103>ひとりでの攻略も可能ですが、歯ごたえのある難易度となります。<hex:02100103><hex:02100103>自分ひとりで、また仲間とのパーティメンバーのみで攻略する場合は<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>パーティが4人に満たない場合マッチングを利用する<hex:0249020103><hex:0248020103>の<hex:02100103>チェックボタンをオフにして突入します。（初期状態）<hex:02100103><hex:02100103>4人パーティとなるようにマッチングを利用する場合は<hex:02100103>このチェックボタンをオンにして突入します。"
"17","ヴァリアントアクション","自由なロール構成で攻略が楽しめるように、ヴァリアントダンジョン内で<hex:02100103>使える特殊なアクション「<hex:024804F201FA03><hex:024904F201FB03>ヴァリアントアクション<hex:0249020103><hex:0248020103>」が用意されています。<hex:02100103><hex:02100103>タンクやDPSロールでもヒーラーの役目ができるよう<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>特別なケアルやレイズ<hex:0249020103><hex:0248020103>などがあり、その他のロールについても同様の<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>特別なアクション<hex:0249020103><hex:0248020103>が用意されています。<hex:02100103><hex:02100103>攻略中に使える2つのヴァリアントアクションは、いつでも<hex:02100103>ウィンドウ内にある<hex:024804F201FA03><hex:024904F201FB03>ヴァリアントアクションを設定<hex:0249020103><hex:0248020103>ボタンにより<hex:02100103>表示されるヴァリアントアクション一覧から選択・設定できます。"
"18","物語を発見する探検","ヴァリアントダンジョンは、その場所にまつわる人物とともに<hex:02100103>ダンジョン内の<hex:024804F201FA03><hex:024904F201FB03>分岐したルート<hex:0249020103><hex:0248020103>を探検し、新たな<hex:024804F201FA03><hex:024904F201FB03>物語を発見<hex:0249020103><hex:0248020103><hex:02100103>していくという要素を持ったコンテンツです。<hex:02100103><hex:02100103>発見した物語は、ヴァリアントダンジョン専用の手記や記録と<hex:02100103>いった形でひとつずつ綴られていきます。<hex:02100103><hex:02100103>ウィンドウ内にある人物のボタンをクリックまたは決定ボタンにて<hex:02100103>専用のサブウィンドウを呼び出し、発見した物語を読むことができます。"
"19","アナザーダンジョンへの挑戦","特殊ダンジョン探索の高難易度コンテンツ<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>アナザーダンジョン<hex:0249020103><hex:0248020103>が開放されました。<hex:02100103><hex:02100103>ウィンドウ上部の<hex:024804F201FA03><hex:024904F201FB03>表示切替ボタン<hex:0249020103><hex:0248020103>を押すことで、<hex:02100103>ウィンドウ内の表示がアナザーダンジョン用に切り替わります。<hex:02100103><hex:02100103>アナザーダンジョンでは、同行するNPCやルート分岐などはなく<hex:02100103>物語を発見する要素もないため、切り替えたウィンドウ内には<hex:02100103>それらの代わりに、<hex:024804F201FA03><hex:024904F201FB03>アナザーダンジョンリスト<hex:0249020103><hex:0248020103>や<hex:02100103>攻略により得られる<hex:024804F201FA03><hex:024904F201FB03>専用通貨<hex:0249020103><hex:0248020103>などの表示が追加されます。"
"20","アナザーダンジョンでの制限","アナザーダンジョン攻略の際は、ヴァリアントダンジョンと異なり<hex:02100103>コンテンツ内での<hex:024804F201FA03><hex:024904F201FB03>ジョブチェンジが制限<hex:0249020103><hex:0248020103>されます。<hex:02100103>レイズ等の通常アクションによる蘇生行動も制限され、<hex:02100103>専用の蘇生用ヴァリアントアクションでのみ蘇生が可能となります。<hex:02100103><hex:02100103>さらに<hex:024804F201FA03><hex:024904F201FB03>零式<hex:0249020103><hex:0248020103>のアナザーダンジョンでは、<hex:02100103>ヴァリアントアクション自体が<hex:024804F201FA03><hex:024904F201FB03>使用不可<hex:0249020103><hex:0248020103>となります。<hex:02100103><hex:02100103>この零式のアナザーダンジョンへ突入するには、<hex:02100103>条件を満たしたメンバー4人でパーティを編成する必要があります。"
"21","パーティメンバー紹介について","パーティメンバーそれぞれのポートレートを表示して紹介するウィンドウです。ダンジョンや討伐・討滅戦などのコンテンツ開始時には、自動で表示されます。コンテンツ開始時の表示では、ウィンドウのサイズ変更や移動は行えません。<hex:02100103><hex:02100103>コンテンツ開始時の表示は、キャラクターコンフィグまたは詳細設定から<hex:02100103>表示しないように設定を変更することができます。"
"22","パーティメンバー紹介を開く方法","コンテンツ参加中に、メインコマンド＞コンテンツ情報＞コンテンツファインダーを選択して表示されるコンテンツメニューの「コンテンツ内機能」タブにある「パーティメンバー紹介表示」ボタンから行えます。<hex:02100103><hex:02100103>また、パーティメンバー紹介がコンテンツ開始時に表示されたあとで、<hex:02100103>通知にも表示されますので、そこからでも開くことが可能です。"
"23","詳細設定について","コンテンツメニューから開いた「パーティメンバー紹介表示」にある設定ボタンから、以下の項目についての設定を行えるようになっています。<hex:02100103><hex:02100103>　・コンテンツ開始時にパーティメンバー紹介を表示する<hex:02100103>　・パーティメンバー紹介の通知を表示する<hex:02100103>　・ポートレートの表示を下詰めにする"
"24","",""
"25","特殊ダンジョン探索のアイテムレベル","特殊ダンジョン探索で<hex:024804F201FA03><hex:024904F201FB03>マッチング<hex:0249020103><hex:0248020103>を利用して4人パーティを<hex:02100103>編成する場合、申請する全員がダンジョンに設定された<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>平均アイテムレベル<hex:0249020103><hex:0248020103>を満たす必要があります。<hex:02100103><hex:02100103>ひとりまたはパーティメンバーのみで攻略する場合は<hex:02100103>平均アイテムレベルを満たさずとも突入が可能です。"
"26","アナザーダンジョンのマッチング条件","アナザーダンジョンに突入する際の<hex:024804F201FA03><hex:024904F201FB03>マッチング条件<hex:0249020103><hex:0248020103>の指定で<hex:02100103>「<hex:024804F201FA03><hex:024904F201FB03>コンプリート済み<hex:0249020103><hex:0248020103>」は該当コンテンツを過去に一度でも<hex:02100103>コンプリートしたことがある場合のみ選択可能になります。"
